Colonne 1,Âge,Profession,À quelle fréquence laissez-vous des avis en ligne sur les produits ou services que vous utilisez ?,Dans quelle mesure les avis en ligne influencent-ils vos décisions d'achat ?  ,Pensez-vous que les entreprises répondent de manière appropriée aux avis en ligne ?,Les avis positifs et négatifs influencent-ils de manière égale votre perception d'une entreprise ?,À quel point faites-vous confiance aux avis en ligne pour refléter fidèlement la qualité d'un produit ou d'un service ?,Quelle est votre expérience avec le retour d'information des entreprises suite à vos avis en ligne ?,Connaissez-vous le concept d'analyse des sentiments appliquée aux avis en ligne ?,Pensez-vous que l'analyse des sentiments peut aider les entreprises à mieux comprendre et répondre aux avis des clients ?,Quelles améliorations espérez-vous de la part des entreprises utilisant l'analyse des sentiments pour analyser les avis en ligne ?,Comment évalueriez-vous votre satisfaction globale quant à la manière dont les entreprises gèrent actuellement les avis en ligne ?,"Préférez-vous que les entreprises répondent publiquement aux avis ou en privé (par exemple, par email) ?",Avez-vous déjà changé d'avis sur une entreprise après qu'elle ait répondu à un avis en ligne (positivement ou négativement) ?
02/07/2024 21:26:24,20-29 ans,Étudiant(e),Parfois,Influent,"Oui, souvent","Oui, de manière égale",Confiant,Satisfait,Oui,"Oui, un peu",Temps de réponse plus rapide,Neutre,Publiquement,"Oui, positivement"
02/07/2024 21:48:26,20-29 ans,Étudiant(e),Parfois,Influent,"Oui, souvent",Les avis négatifs sont plus influents,Confiant,Satisfait,Non,"Oui, un peu",Meilleure compréhension des besoins des clients,Neutre,Publiquement,"Oui, positivement"
02/07/2024 21:49:45,30-39 ans,Artisane,Parfois,Influent,"Oui, souvent","Oui, de manière égale",Confiant,Neutre,Non,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Publiquement,"Oui, positivement"
02/07/2024 21:58:21,30-39 ans,Salarié,Rarement,Moyennement influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Non,Neutre,"Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, positivement"
02/07/2024 22:01:01,30-39 ans,Gestionnaire clients,Parfois,Très influent,"Oui, souvent","Oui, de manière égale",Confiant,Satisfait,Non,Neutre,Meilleure compréhension des besoins des clients,Neutre,Publiquement,"Oui, positivement"
02/07/2024 22:24:08,30-39 ans,Chargé d'affaire froid indutriel,Jamais,Influent,Parfois,Les avis négatifs sont plus influents,Confiant,Neutre,Non,Neutre,"Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Insatisfait,Pas de préférence,"Oui, positivement"
02/07/2024 22:43:40,20-29 ans,Graphiste,Jamais,Très influent,"Oui, souvent",Les avis négatifs sont plus influents,Confiant,Neutre,Non,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Publiquement,Non
02/07/2024 22:48:11,30-39 ans,Employer ,Jamais,Moyennement influent,Rarement,"Oui, de manière égale",Confiant,Neutre,Non,Neutre,"Temps de réponse plus rapide, Amélioration des produits/services",Neutre,Publiquement,Non
02/07/2024 22:49:07,20-29 ans,,Rarement,Influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Non,"Oui, un peu",Aucune amélioration attendue,Neutre,Publiquement,"Oui, positivement"
02/07/2024 22:49:30,20-29 ans,Étudiant(e),Rarement,Influent,"Oui, souvent","Oui, de manière égale",Confiant,Neutre,Non,"Oui, un peu","Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Publiquement,Non
02/07/2024 22:51:48,20-29 ans,Étudiant(e),Rarement,Influent,Parfois,Les avis négatifs sont plus influents,Confiant,Neutre,Non,"Oui, un peu","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,Non
02/07/2024 22:52:04,20-29 ans,Service civique ,Toujours,Influent,Parfois,"Oui, de manière égale",Confiant,Satisfait,Non,Neutre,"Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, positivement"
02/07/2024 22:54:58,20-29 ans,Étudiant(e),Parfois,Influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Non,Neutre,"Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, négativement"
02/07/2024 22:56:04,20-29 ans,Étudiant(e),Jamais,Influent,"Oui, souvent",Les avis négatifs sont plus influents,Moyennement confiant,,Non,,,Satisfait,Pas de préférence,"Oui, positivement"
02/07/2024 22:59:18,20-29 ans,Chercheur(e),Rarement,Influent,Parfois,"Oui, de manière égale",Très confiant,Satisfait,Non,"Oui, beaucoup",Temps de réponse plus rapide,Très satisfait,Publiquement,"Oui, positivement"
02/07/2024 23:19:00,20-29 ans,Data Scientist,Souvent,Influent,"Oui, souvent",Les avis négatifs sont plus influents,Confiant,Satisfait,Oui,"Oui, beaucoup","Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, positivement"
02/07/2024 23:26:31,30-39 ans,Responsable de projet ,Parfois,Influent,Rarement,Les avis négatifs sont plus influents,Confiant,Insatisfait,Non,Neutre,"Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients",Insatisfait,Publiquement,"Oui, positivement"
02/07/2024 23:47:15,20-29 ans,Chef de projet marketing ,Parfois,Influent,Rarement,"Oui, de manière égale",Confiant,Neutre,Oui,"Oui, beaucoup",Meilleure personnalisation des réponses,Neutre,Publiquement,Non
02/07/2024 23:47:33,Moins de 20 ans,Étudiant(e),Parfois,Influent,Parfois,Les avis négatifs sont plus influents,Confiant,Neutre,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients",Neutre,Pas de préférence,"Oui, négativement"
03/07/2024 00:18:49,20-29 ans,"Chargée marketing, diplômée en management de l'innovation",Jamais,Très influent,Parfois,"Oui, de manière égale",Moyennement confiant,,Non,"Oui, un peu","Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Pas de préférence,Non
03/07/2024 00:27:30,20-29 ans,Chercheur(e),Rarement,Pas du tout influent,"Oui, souvent",Les avis négatifs sont plus influents,Peu confiant,Neutre,Oui,"Oui, beaucoup",Meilleure compréhension des besoins des clients,Satisfait,Publiquement,"Oui, négativement"
03/07/2024 00:33:28,Moins de 20 ans,Étudiant(e),Jamais,Influent,Rarement,"Oui, de manière égale",Moyennement confiant,Satisfait,Non,Neutre,"Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Pas de préférence,"Oui, positivement"
03/07/2024 01:22:34,20-29 ans,Étudiant(e),Jamais,Très influent,"Oui, toujours","Oui, de manière égale",Très confiant,Très satisfait,Non,"Oui, beaucoup",Meilleure personnalisation des réponses,Satisfait,En privé,Non
03/07/2024 03:35:08,20-29 ans,Étudiant(e),Jamais,Très influent,"Oui, souvent","Oui, de manière égale",Confiant,Neutre,Non,"Oui, un peu","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Pas de préférence,Non
03/07/2024 08:12:59,20-29 ans,Achats,Rarement,Influent,Rarement,Les avis négatifs sont plus influents,Confiant,Neutre,Non,Neutre,Aucune amélioration attendue,Neutre,Pas de préférence,Non
03/07/2024 10:18:38,20-29 ans,Étudiant(e),Rarement,Moyennement influent,"Oui, souvent","Oui, de manière égale",Confiant,Neutre,Non,"Oui, un peu","Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,Non
03/07/2024 11:46:21,20-29 ans,Étudiant(e),Rarement,Très influent,Parfois,Les avis positifs sont plus influents,Très confiant,Neutre,Non,"Oui, un peu","Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,Non
03/07/2024 15:46:36,20-29 ans,Business Analyst,Parfois,Influent,Rarement,"Oui, de manière égale",Confiant,Neutre,Non,Neutre,"Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,Non
03/07/2024 22:28:29,20-29 ans,ingénieure systèmes embarqués réseau et télécommunications ,Parfois,Influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, négativement"
03/07/2024 22:29:08,20-29 ans,Étudiant(e),Rarement,Influent,"Oui, souvent",Les avis négatifs sont plus influents,Confiant,Satisfait,Oui,"Oui, un peu",Temps de réponse plus rapide,Satisfait,En privé,"Oui, négativement"
03/07/2024 23:07:46,20-29 ans,Étudiant(e),Souvent,Influent,Parfois,"Oui, de manière égale",Confiant,Neutre,Oui,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, positivement"
04/07/2024 00:13:46,Moins de 20 ans,Étudiant(e),Parfois,Moyennement influent,Parfois,Les avis négatifs sont plus influents,Confiant,,Non,,"Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",,En privé,
04/07/2024 00:34:18,20-29 ans,Étudiant(e),Toujours,Influent,"Oui, toujours","Oui, de manière égale",Très confiant,Satisfait,Non,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,En privé,Non
05/07/2024 21:57:46,50 ans et plus,Technicien superieur en robotique,Parfois,Peu influent,Parfois,Les avis positifs sont plus influents,Moyennement confiant,Satisfait,Oui,"Oui, un peu",Amélioration des produits/services,Satisfait,En privé,Non
07/07/2024 23:31:39,20-29 ans,Ingénieure automobile,Rarement,Très influent,Parfois,"Oui, de manière égale",Confiant,Neutre,Oui,"Oui, beaucoup","Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, positivement"
08/07/2024 16:58:27,Moins de 20 ans,Étudiant(e),Parfois,Influent,Parfois,Les avis positifs sont plus influents,Moyennement confiant,Satisfait,Oui,"Oui, beaucoup",Meilleure compréhension des besoins des clients,Satisfait,Publiquement,"Oui, positivement"
08/07/2024 17:05:55,20-29 ans,Chercheur(e),Rarement,Moyennement influent,"Oui, souvent","Oui, de manière égale",Confiant,Satisfait,Oui,"Oui, beaucoup",Meilleure personnalisation des réponses,Satisfait,Publiquement,"Oui, positivement"
08/07/2024 17:14:41,40-49 ans,Coutche,Rarement,Peu influent,"Oui, toujours","Oui, de manière égale",Moyennement confiant,Neutre,Oui,"Oui, beaucoup",Meilleure compréhension des besoins des clients,Satisfait,En privé,"Oui, positivement"
08/07/2024 17:22:08,40-49 ans,Chercheur(e),Toujours,Très influent,"Oui, souvent","Oui, de manière égale",Moyennement confiant,Neutre,Oui,"Oui, beaucoup",Meilleure compréhension des besoins des clients,Satisfait,En privé,Non
08/07/2024 17:30:31,50 ans et plus,Retraite,Toujours,Très influent,"Oui, toujours","Oui, de manière égale",Peu confiant,Très satisfait,Oui,"Oui, beaucoup",Meilleure compréhension des besoins des clients,Très satisfait,En privé,"Oui, négativement"
08/07/2024 19:55:02,20-29 ans,Walo,Rarement,Très influent,Parfois,"Oui, de manière égale",Moyennement confiant,Satisfait,Oui,"Oui, beaucoup",Meilleure compréhension des besoins des clients,Satisfait,Publiquement,"Oui, positivement"
08/07/2024 21:35:08,20-29 ans,Étudiant(e),Souvent,Influent,"Oui, souvent","Oui, de manière égale",Moyennement confiant,Satisfait,Oui,"Oui, beaucoup",Meilleure personnalisation des réponses,Neutre,En privé,Non
08/07/2024 21:41:36,20-29 ans,Délégue commercial ,Parfois,Moyennement influent,"Oui, souvent","Oui, de manière égale",Confiant,Neutre,Oui,"Oui, un peu",Temps de réponse plus rapide,Satisfait,Publiquement,"Oui, positivement"
08/07/2024 21:42:48,20-29 ans,Professeur d'EPS,Rarement,Moyennement influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Oui,"Oui, un peu","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Amélioration des produits/services",Neutre,Publiquement,"Oui, négativement"
08/07/2024 21:45:37,20-29 ans,Étudiant(e),Parfois,Influent,"Oui, souvent","Oui, de manière égale",Très confiant,Satisfait,Oui,"Oui, beaucoup",Meilleure personnalisation des réponses,Satisfait,Publiquement,Non
10/07/2024 16:12:09,30-39 ans,Chercheur(e),Toujours,Très influent,"Oui, toujours","Oui, de manière égale",Peu confiant,Satisfait,Oui,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Publiquement,Non
13/07/2024 02:14:56,20-29 ans,Étudiant(e),Parfois,Peu influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Oui,Neutre,Temps de réponse plus rapide,Neutre,En privé,Non
13/07/2024 08:29:26,20-29 ans,Étudiant(e),Rarement,Influent,Parfois,"Oui, de manière égale",Moyennement confiant,Satisfait,Oui,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, négativement"
13/07/2024 16:01:24,40-49 ans,Étudiant(e),Souvent,Moyennement influent,Parfois,Les avis positifs sont plus influents,,,,Neutre,"Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients",Neutre,Publiquement,"Oui, négativement"
15/07/2024 02:50:13,30-39 ans,Technicienne réseau eau potable ,Parfois,Influent,"Oui, souvent","Oui, de manière égale",Confiant,Satisfait,Oui,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Publiquement,"Oui, positivement"
10/10/2024 15:30:08,30-39 ans,Entrepreneur,Rarement,Influent,"Oui, souvent",Les avis négatifs sont plus influents,Confiant,Très satisfait,Oui,"Oui, beaucoup","Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Publiquement,Non
10/10/2024 15:30:19,30-39 ans,Analyste de données,Jamais,Pas du tout influent,Parfois,Les avis positifs sont plus influents,Moyennement confiant,Satisfait,Non,"Oui, un peu","Meilleure personnalisation des réponses, Temps de réponse plus rapide",Satisfait,Publiquement,"Oui, positivement"
10/10/2024 15:34:48,20-29 ans,Étudiant(e),Rarement,Très influent,Parfois,"Oui, de manière égale",Confiant,Neutre,Oui,"Oui, un peu","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Insatisfait,En privé,"Oui, positivement"
10/10/2024 17:16:18,30-39 ans,Étudiant(e),Rarement,Influent,Rarement,Les avis négatifs sont plus influents,Moyennement confiant,Très insatisfait,Oui,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Pas de préférence,Non
10/10/2024 18:15:53,20-29 ans,Étudiant(e),Rarement,Moyennement influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Non,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,Non
