Colonne 1,Âge,Profession,À quelle fréquence laissez-vous des avis en ligne sur les produits ou services que vous utilisez ?,Dans quelle mesure les avis en ligne influencent-ils vos décisions d'achat ?  ,Pensez-vous que les entreprises répondent de manière appropriée aux avis en ligne ?,Les avis positifs et négatifs influencent-ils de manière égale votre perception d'une entreprise ?,À quel point faites-vous confiance aux avis en ligne pour refléter fidèlement la qualité d'un produit ou d'un service ?,Quelle est votre expérience avec le retour d'information des entreprises suite à vos avis en ligne ?,Connaissez-vous le concept d'analyse des sentiments appliquée aux avis en ligne ?,Pensez-vous que l'analyse des sentiments peut aider les entreprises à mieux comprendre et répondre aux avis des clients ?,Quelles améliorations espérez-vous de la part des entreprises utilisant l'analyse des sentiments pour analyser les avis en ligne ?,Comment évalueriez-vous votre satisfaction globale quant à la manière dont les entreprises gèrent actuellement les avis en ligne ?,"Préférez-vous que les entreprises répondent publiquement aux avis ou en privé (par exemple, par email) ?",Avez-vous déjà changé d'avis sur une entreprise après qu'elle ait répondu à un avis en ligne (positivement ou négativement) ?
10/10/2024 18:18:30,20-29 ans,Étudiant(e),Parfois,Très influent,Parfois,"Oui, de manière égale",Confiant,Neutre,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,En privé,"Oui, positivement"
10/10/2024 18:20:24,20-29 ans,Étudiant(e),Rarement,Moyennement influent,"Oui, souvent",Les avis négatifs sont plus influents,Pas du tout confiant,Neutre,Non,"Oui, un peu",Temps de réponse plus rapide,Neutre,En privé,"Oui, négativement"
10/10/2024 18:22:17,Moins de 20 ans,Étudiant(e),Toujours,Moyennement influent,"Oui, souvent","Oui, de manière égale",Moyennement confiant,Satisfait,Oui,"Oui, beaucoup",Temps de réponse plus rapide,Satisfait,Publiquement,"Oui, positivement"
10/10/2024 18:22:30,20-29 ans,Étudiant(e),Parfois,Influent,"Oui, souvent",Les avis négatifs sont plus influents,Moyennement confiant,Neutre,Non,Neutre,,Neutre,Pas de préférence,"Oui, positivement"
10/10/2024 18:25:48,20-29 ans,Étudiant(e),Rarement,Très influent,Parfois,"Oui, de manière égale",Très confiant,Neutre,Oui,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide",Insatisfait,Publiquement,"Oui, positivement"
10/10/2024 18:27:24,20-29 ans,Ingénieure agroalimentaire ,Rarement,Moyennement influent,Parfois,Les avis négatifs sont plus influents,Moyennement confiant,Neutre,Oui,Neutre,"Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Pas de préférence,"Oui, négativement"
10/10/2024 18:27:51,20-29 ans,Étudiant(e),Jamais,Très influent,Parfois,Les avis négatifs sont plus influents,Pas du tout confiant,Neutre,Non,"Oui, un peu","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Très insatisfait,Publiquement,Non
10/10/2024 18:29:07,Moins de 20 ans,Étudiant(e),Souvent,Très influent,Parfois,Les avis positifs sont plus influents,Confiant,Satisfait,Non,"Oui, un peu","Temps de réponse plus rapide, Aucune amélioration attendue",Neutre,Publiquement,"Oui, positivement"
10/10/2024 18:29:25,20-29 ans,Étudiant(e),Toujours,Influent,Parfois,"Oui, de manière égale",Moyennement confiant,Satisfait,Non,"Oui, un peu",Meilleure personnalisation des réponses,Satisfait,En privé,"Oui, positivement"
10/10/2024 18:32:17,Moins de 20 ans,Étudiant(e),Parfois,Influent,"Oui, souvent",Les avis négatifs sont plus influents,Peu confiant,Neutre,Non,"Oui, beaucoup",Meilleure personnalisation des réponses,Satisfait,Pas de préférence,"Oui, positivement"
10/10/2024 18:32:28,20-29 ans,Chercheur(e),Parfois,Moyennement influent,"Oui, souvent",Les avis positifs sont plus influents,Confiant,Neutre,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients",Satisfait,En privé,"Oui, positivement"
10/10/2024 18:32:35,20-29 ans,Étudiant(e),Jamais,Peu influent,Parfois,Les avis négatifs sont plus influents,Très confiant,Très satisfait,Non,"Oui, beaucoup",Temps de réponse plus rapide,Satisfait,En privé,"Oui, positivement"
10/10/2024 18:34:06,20-29 ans,Étudiant(e),Rarement,Très influent,Rarement,"Oui, de manière égale",Très confiant,Neutre,Non,"Oui, beaucoup",Temps de réponse plus rapide,Neutre,Publiquement,"Oui, négativement"
10/10/2024 18:39:41,20-29 ans,Étudiant(e),Souvent,Très influent,Parfois,Les avis négatifs sont plus influents,Confiant,Neutre,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,En privé,"Oui, positivement"
10/10/2024 18:42:54,20-29 ans,Étudiant(e),Rarement,Influent,Parfois,Les avis négatifs sont plus influents,Moyennement confiant,Neutre,Non,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Publiquement,Non
10/10/2024 18:44:15,20-29 ans,Étudiant(e),Souvent,Influent,Parfois,Les avis négatifs sont plus influents,Moyennement confiant,,Non,"Oui, un peu",Meilleure compréhension des besoins des clients,Satisfait,Publiquement,"Oui, positivement"
10/10/2024 18:45:29,20-29 ans,,Jamais,Influent,Parfois,"Oui, de manière égale",Moyennement confiant,Satisfait,Non,Neutre,Amélioration des produits/services,Insatisfait,Publiquement,Non
10/10/2024 18:47:20,Moins de 20 ans,Étudiant(e),Jamais,Très influent,"Oui, souvent",Les avis positifs sont plus influents,Peu confiant,Très satisfait,Oui,"Oui, un peu",Temps de réponse plus rapide,Satisfait,En privé,"Oui, positivement"
10/10/2024 18:59:48,20-29 ans,Étudiant(e),Parfois,Très influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Non,Neutre,"Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Insatisfait,Pas de préférence,Non
10/10/2024 19:00:41,20-29 ans,Étudiant(e),Jamais,Très influent,Parfois,"Oui, de manière égale",Confiant,Neutre,Oui,"Oui, un peu","Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Pas de préférence,Non
10/10/2024 19:01:03,20-29 ans,Étudiant(e),Parfois,Très influent,Parfois,"Oui, de manière égale",Très confiant,Très satisfait,Oui,"Oui, beaucoup","Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Pas de préférence,"Oui, positivement"
10/10/2024 19:06:29,Moins de 20 ans,Étudiant(e),Toujours,Moyennement influent,Rarement,"Oui, de manière égale",Très confiant,Insatisfait,Oui,Neutre,Meilleure compréhension des besoins des clients,Neutre,En privé,"Oui, négativement"
10/10/2024 19:06:41,20-29 ans,Étudiant(e),Souvent,Très influent,"Oui, souvent","Oui, de manière égale",Très confiant,Satisfait,Oui,"Oui, beaucoup",Temps de réponse plus rapide,Satisfait,Publiquement,"Oui, positivement"
10/10/2024 19:07:01,20-29 ans,Étudiant(e),Rarement,Influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Non,Neutre,"Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients",Neutre,Publiquement,Non
10/10/2024 19:13:15,20-29 ans,Étudiant(e),Rarement,Influent,Parfois,"Oui, de manière égale",Confiant,Satisfait,Non,"Oui, un peu","Temps de réponse plus rapide, Meilleure compréhension des besoins des clients",Neutre,En privé,"Oui, positivement"
10/10/2024 19:13:22,20-29 ans,Étudiant(e),Souvent,Influent,"Oui, toujours","Oui, de manière égale",Moyennement confiant,Très satisfait,Oui,"Oui, un peu",Temps de réponse plus rapide,Neutre,Pas de préférence,"Oui, positivement"
10/10/2024 19:14:57,20-29 ans,Étudiant(e),Parfois,Influent,Parfois,"Oui, de manière égale",Confiant,Satisfait,Oui,"Oui, beaucoup",Meilleure personnalisation des réponses,Satisfait,Publiquement,"Oui, positivement"
10/10/2024 19:18:54,20-29 ans,Étudiant(e),Rarement,Moyennement influent,Parfois,Les avis négatifs sont plus influents,Confiant,Neutre,Non,Neutre,"Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,Non
10/10/2024 19:19:59,20-29 ans,Étudiant(e),Parfois,Influent,"Oui, souvent",Les avis négatifs sont plus influents,Confiant,Satisfait,Oui,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Pas de préférence,"Oui, positivement"
10/10/2024 19:24:19,20-29 ans,Étudiant(e),Rarement,Influent,Rarement,Les avis positifs sont plus influents,Moyennement confiant,Neutre,Oui,"Oui, un peu",Temps de réponse plus rapide,Neutre,Pas de préférence,Non
10/10/2024 19:24:21,20-29 ans,Étudiant(e),Jamais,Très influent,"Non, jamais",Les avis négatifs sont plus influents,Confiant,,,,,Insatisfait,Publiquement,"Oui, négativement"
10/10/2024 19:25:08,20-29 ans,Téléconseillère ,Rarement,Influent,Parfois,Les avis négatifs sont plus influents,Confiant,Neutre,Non,"Oui, beaucoup","Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,En privé,Non
10/10/2024 19:26:53,20-29 ans,Étudiant(e),Rarement,Moyennement influent,Rarement,Les avis négatifs sont plus influents,Moyennement confiant,Neutre,Non,"Oui, un peu",Meilleure compréhension des besoins des clients,Neutre,En privé,"Oui, positivement"
10/10/2024 19:29:27,20-29 ans,Étudiant(e),Parfois,Moyennement influent,Parfois,Les avis positifs sont plus influents,Moyennement confiant,Neutre,Non,Neutre,"Meilleure personnalisation des réponses, Temps de réponse plus rapide",Neutre,Publiquement,Non
10/10/2024 19:32:20,20-29 ans,Étudiant(e),Parfois,Très influent,"Oui, souvent",Les avis négatifs sont plus influents,Très confiant,Neutre,Non,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, négativement"
10/10/2024 19:33:36,20-29 ans,Étudiant(e),Parfois,Très influent,Parfois,"Oui, de manière égale",Confiant,Neutre,Oui,"Oui, un peu","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients",Neutre,En privé,"Oui, positivement"
10/10/2024 19:35:20,20-29 ans,Étudiant(e),Parfois,Influent,Parfois,"Oui, de manière égale",Confiant,Satisfait,Oui,"Oui, beaucoup",Temps de réponse plus rapide,Très satisfait,Publiquement,Non
10/10/2024 19:37:51,20-29 ans,Étudiant(e),Rarement,Influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Non,Pas vraiment,"Meilleure compréhension des besoins des clients, Amélioration des produits/services",Insatisfait,En privé,"Oui, positivement"
10/10/2024 19:39:10,20-29 ans,Étudiant(e),Parfois,Très influent,"Oui, souvent",Les avis positifs sont plus influents,Très confiant,Très satisfait,Non,"Oui, un peu",Meilleure compréhension des besoins des clients,Satisfait,Publiquement,"Oui, positivement"
10/10/2024 19:39:51,20-29 ans,Étudiant(e),Rarement,Très influent,"Oui, souvent",Les avis positifs sont plus influents,Confiant,Satisfait,Oui,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide",Satisfait,Pas de préférence,Non
10/10/2024 19:43:54,20-29 ans,Étudiant(e),Toujours,Moyennement influent,Parfois,Les avis positifs sont plus influents,Moyennement confiant,Insatisfait,Non,"Oui, beaucoup",Temps de réponse plus rapide,Insatisfait,Publiquement,"Oui, positivement"
10/10/2024 19:44:35,20-29 ans,Étudiant(e),Parfois,Très influent,Parfois,"Oui, de manière égale",Confiant,Satisfait,Oui,"Oui, un peu",Meilleure personnalisation des réponses,Satisfait,En privé,"Oui, positivement"
10/10/2024 19:50:51,20-29 ans,Étudiant(e),Jamais,Influent,Parfois,Les avis négatifs sont plus influents,Moyennement confiant,Neutre,Non,Neutre,Temps de réponse plus rapide,Neutre,En privé,Non
10/10/2024 19:56:46,20-29 ans,Étudiant(e),Rarement,Très influent,Parfois,"Oui, de manière égale",Très confiant,Neutre,Non,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,Non
10/10/2024 20:13:09,20-29 ans,Étudiant(e),Rarement,Influent,"Oui, toujours",Les avis négatifs sont plus influents,Confiant,Neutre,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Insatisfait,Publiquement,Non
10/10/2024 20:14:12,20-29 ans,Étudiant(e),Rarement,Influent,Parfois,"Oui, de manière égale",Confiant,Neutre,Non,Neutre,Meilleure compréhension des besoins des clients,Neutre,Publiquement,Non
10/10/2024 20:17:26,20-29 ans,Étudiant(e),Rarement,Très influent,"Oui, souvent","Oui, de manière égale",Très confiant,Satisfait,Non,"Oui, un peu",Meilleure personnalisation des réponses,Satisfait,Publiquement,"Oui, positivement"
10/10/2024 20:18:45,20-29 ans,Business Analyst ,Parfois,Influent,Parfois,Les avis négatifs sont plus influents,Moyennement confiant,Neutre,Non,"Oui, un peu","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,Non
10/10/2024 20:27:17,20-29 ans,Pilote,Parfois,Moyennement influent,Parfois,Les avis positifs sont plus influents,Moyennement confiant,Satisfait,Oui,"Oui, beaucoup",Meilleure compréhension des besoins des clients,Neutre,En privé,"Oui, négativement"
10/10/2024 20:28:50,20-29 ans,Étudiant(e),Toujours,Très influent,Parfois,"Oui, de manière égale",Confiant,Insatisfait,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Amélioration des produits/services",Neutre,Publiquement,"Oui, négativement"
10/10/2024 20:29:57,20-29 ans,Étudiant(e),Parfois,Influent,Parfois,"Oui, de manière égale",Moyennement confiant,Satisfait,Oui,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Publiquement,"Oui, positivement"
10/10/2024 20:35:25,20-29 ans,Étudiant(e),Rarement,Très influent,"Oui, souvent","Oui, de manière égale",Confiant,Satisfait,Non,"Oui, un peu","Temps de réponse plus rapide, Meilleure compréhension des besoins des clients",Satisfait,Publiquement,Non
10/10/2024 20:38:04,30-39 ans,Ingénieur(e) en IA,Parfois,Moyennement influent,"Oui, souvent","Oui, de manière égale",Moyennement confiant,Neutre,Non,"Oui, un peu",Temps de réponse plus rapide,Neutre,Pas de préférence,"Oui, négativement"
10/10/2024 20:41:52,20-29 ans,Étudiant(e),Rarement,Moyennement influent,"Oui, souvent","Oui, de manière égale",Moyennement confiant,Neutre,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Amélioration des produits/services",Neutre,Publiquement,Non
10/10/2024 20:44:35,20-29 ans,Étudiant(e),Parfois,Très influent,"Oui, souvent",Les avis négatifs sont plus influents,Confiant,Neutre,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients",Neutre,Pas de préférence,Non
10/10/2024 20:46:07,20-29 ans,Étudiant(e),Rarement,Très influent,Parfois,"Oui, de manière égale",Très confiant,Neutre,Non,"Oui, beaucoup",Temps de réponse plus rapide,Insatisfait,Publiquement,"Oui, positivement"
10/10/2024 20:50:13,20-29 ans,Responsable d’achat,Parfois,Influent,"Oui, souvent",Les avis négatifs sont plus influents,Moyennement confiant,Neutre,Non,"Oui, un peu","Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Pas de préférence,Non
10/10/2024 20:56:49,20-29 ans,Étudiant(e),Rarement,Très influent,Parfois,Les avis négatifs sont plus influents,Confiant,Neutre,Oui,"Oui, un peu","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, négativement"
10/10/2024 21:09:36,20-29 ans,Étudiant(e),Souvent,Moyennement influent,"Oui, souvent",Les avis positifs sont plus influents,Moyennement confiant,Neutre,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Très satisfait,Publiquement,Non
10/10/2024 21:10:34,20-29 ans,Étudiant(e),Rarement,Influent,Parfois,"Oui, de manière égale",Confiant,Satisfait,Oui,"Oui, un peu",Temps de réponse plus rapide,Neutre,Publiquement,Non
10/10/2024 21:19:18,20-29 ans,Étudiant(e),Jamais,Moyennement influent,Rarement,Les avis positifs sont plus influents,Moyennement confiant,Neutre,Non,"Oui, beaucoup",,,,
10/10/2024 21:21:27,Moins de 20 ans,Étudiant(e),Souvent,Peu influent,Rarement,Les avis négatifs sont plus influents,Moyennement confiant,Insatisfait,Oui,"Oui, un peu",Meilleure personnalisation des réponses,Neutre,Publiquement,Non